lat,lon,0:01:35,0:05:59,0:10:23,0:14:47,0:19:11,0:27:59,0:32:23,0:36:47,0:41:10,0:45:34,0:49:58,0:54:21,1:03:09,1:07:32,1:11:54,1:16:17,1:20:39,1:25:02,1:29:24,1:38:07,1:42:29,1:46:50,1:51:12,1:55:33,1:59:53,2:08:35,2:12:56,2:17:16,2:21:37,2:25:57,2:30:17,2:34:38,2:43:17,2:47:37,2:51:56,2:56:16,3:00:35,3:04:55,3:13:33,3:17:53,3:22:12,3:26:31,3:30:50,3:35:09,3:39:27,3:48:05,3:52:23,3:56:43,4:01:02,4:05:21,4:09:39,4:18:16,4:22:34,4:26:53,4:31:11,4:35:30,4:39:48,4:48:25,4:52:43,4:57:01,5:01:19,5:05:38,5:09:56,5:18:34,5:22:53,5:27:12,5:31:31,5:35:50,5:40:09,5:48:48,5:53:08,5:57:28,6:01:48,6:06:09,6:10:30,6:14:51,6:23:35,6:27:57,6:32:20,6:36:42,6:41:06,6:45:28,6:49:52,6:58:39,7:03:02,7:07:26,7:11:50,7:16:13,7:20:37,7:25:00,7:33:48,7:38:12,7:42:35,7:46:59,7:51:22,7:55:46,8:00:10,8:08:57,8:13:21,8:17:45,8:22:09,8:26:32,8:30:56,8:35:20,8:39:43,8:48:31,8:52:55,8:57:18,9:01:42,9:06:06,9:10:30,9:14:55,9:23:42,9:28:06,9:32:30,9:36:54,9:41:20,9:45:44,9:50:08,9:58:56,10:03:20,10:07:44,10:12:08,10:16:32,10:20:56,10:25:20,10:34:09,10:38:33,10:42:57,10:47:21,10:51:45,10:56:09,11:00:34,11:04:58,11:13:58,11:18:36,11:23:32,11:28:07,11:32:31,11:36:55,11:41:18,11:50:08,11:54:32,11:58:55,12:03:28,12:12:15,12:16:39,12:25:28,12:34:15,12:38:39,12:43:03,12:47:27,12:51:50,12:56:14,13:00:38,13:09:26,13:13:50,13:18:15,13:22:39,13:27:02,13:31:26,13:35:50,13:40:13,13:49:03,13:53:27,13:57:50,14:02:14,14:06:38,14:11:02,14:15:26,14:24:13,14:28:37,14:33:01,14:37:24,14:41:48,14:46:12,14:50:35,14:59:23,15:03:47,15:08:11,15:12:35,15:16:59,15:21:23,15:25:47,15:34:34,15:38:58,15:43:23,15:47:53,15:52:17,15:56:44,16:01:08,16:05:35,16:14:24,16:18:48,16:23:12,16:27:35,16:31:59,16:36:23,16:40:47,16:49:39,16:54:02,16:58:26,17:02:50,17:07:14,17:11:38,17:16:01,17:20:25,17:29:13,17:33:37,17:38:00,17:42:24,17:46:47,17:51:11,17:55:35,18:04:23,18:08:46,18:13:10,18:17:34,18:22:59,18:27:28,18:31:52,18:36:16,18:40:40,18:49:27,18:53:50,18:58:14,19:02:37,19:07:01,19:11:24,19:15:48,19:24:35,19:28:58,19:33:22,19:37:46,19:42:09,19:46:33,19:50:56,19:59:43,20:04:06,20:08:29,20:12:53,20:17:17,20:21:40,20:26:04,20:34:51,20:39:14,20:43:38,20:48:01,20:52:25,20:56:48,21:01:11,21:09:59,21:14:22,21:18:46,21:23:09,21:27:33,21:31:57,21:36:20,21:45:07,21:49:31,21:53:55,21:58:18,22:02:42,22:07:05,22:11:29,22:20:16,22:24:40,22:29:03,22:33:27,22:37:51,22:42:14,22:46:38,22:51:02,22:59:49,23:04:13,23:08:37,23:13:00,23:17:24,23:21:48,23:26:12,23:35:00,23:39:24,23:43:47,23:48:12,23:52:35,23:57:12
39.33,115.63,2,,,2,1,1,,2,,,,,1,1,2,,2,1,1,4,,1,,,,2,1,1,1,1,,,1,1,,,1,,,,,,,1,1,,1,,,1,,,,,1,,,1,1,,,1,,,,5,,,,,1,,2,1,,2,,,2,3,1,1,2,2,,2,3,1,2,2,1,1,1,,2,1,4,7,5,2,,,1,,1,1,,2,,2,1,2,1,2,,1,,,,,2,,1,,,1,3,2,1,1,,2,1,,,1,,2,1,3,,1,,,2,,,3,2,3,2,1,,,1,2,2,1,,,4,3,1,,,3,1,2,,,,1,2,,1,3,2,2,2,,1,2,1,,,2,,1,2,1,2,4,1,1,1,,,1,2,4,,2,,3,2,,,1,1,1,2,,,,2,3,1,,,1,4,4,2,,,4,1,2,3,,1,1,5,3,2,4,4,,3,2,6,4,3,,4,4,6,3,5,4,3,9,5,2,4,4,4,,7,4,8,,5,2,,,4,1,,1,6,8,4,7,5,3,5,2,4,3,4,3,4,5,5,2
39.33,115.64,,,,,,,,1,,,,2,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,1,,1,1,,1,,1,1,,,,,,,,,,1,1,,,,,1,1,,,,2,1,1,,,1,,,,,,1,2,,1,,,,,2,,2,3,,1,1,1,,1,3,1,1,,2,,1,,3,,1,3,,1,,,,,1,4,,,,,2,2,,2,1,,,3,,,,1,1,2,,1,,,1,,1,1,,,,,1,,5,1,2,1,,,1,,1,,1,1,2,,2,1,,,,3,5,,,,,2,,,3,,3,,,1,,2,1,1,,2,3,3,1,1,1,1,,1,1,,1,,,2,,1,,,2,,2,,1,3,1,,1,2,,1,6,,1,2,,,,,1,,2,,,1,,,2,3,2,1,,1,,2,,2,2,,,,,1,,2,,,1,3,,2,,3,,4,3,4,,,,,,,,2,,,,
39.33,115.65,1,,3,2,2,2,1,,3,,,1,1,,2,1,1,1,3,1,,1,,1,1,,2,1,2,,1,1,,2,2,2,1,2,1,3,,,1,3,1,,,,1,1,2,,,1,2,,,1,2,3,2,,,,1,1,1,,,,4,,2,3,2,4,,5,2,3,,,3,2,3,2,2,2,1,2,,,1,6,,1,,6,2,3,3,4,,3,2,4,1,,3,2,2,,2,1,,4,1,1,2,,2,2,4,2,2,4,1,3,,,,1,1,1,4,4,,1,1,3,5,1,5,4,7,,1,6,2,3,5,2,4,2,4,2,2,2,3,2,2,,1,1,4,8,3,4,3,2,,2,3,4,1,2,1,3,2,1,7,3,,1,2,4,3,2,3,2,1,2,2,1,1,1,,2,1,3,1,2,,2,1,1,3,4,4,3,3,3,2,2,5,2,3,3,5,,,6,5,3,4,2,4,3,7,6,5,3,5,7,15,4,,3,6,,,,5,,3,,,6,,3,4,,,,4,3,6,,4,3,,1,3,2,,2,,2,3,2,,7,3,3,3,2,1,,,1,3,2,2,,4,1
39.33,115.66,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,1,2,,3,,2,,1,,1,1,,,1,,,1,,,,,,,,3,,1,,2,1,,,,1,,,1,,,,1,,1,1,,,1,1,1,,,,2,,1,,1,,,,1,,,,,,,2,,1,1,,,1,3,,,,,,,,1,,,,,,,,,1,,,,,,,2,3,,,,1,2,,,,,1,4,,1,,2,,,,,,,,,3,,,,2,,,,,,2,1,1,,,2,,,,,1,,,,,,,,,,,,,,1,,,,
39.33,115.67,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.33,115.68,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
39.33,115.69,1,,,,,,,,,,,,1,,,,1,,,,3,,1,,,,,,3,1,3,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,1,2,,,3,1,,,1,,,,3,,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,1,1,,1,1,,1,,,1,1,,,1,,1,,,,7,5,,1,1,,,2,,,2,,1,3,1,1,,1,,,,1,1,1,,,,1,,2,1,1,,,2,1,,,,1,1,2,,1,,,,,,1,,1,2,1,1,,,,3,,1,2,3,2,,,,,,1,,,,,,2,,,,,,,,,1,1,,1,,,,1,,,,1,,3,,,,,,,,,,2,1,,,1,1,1,,2,1,,,1,,1,,,1,,,,1,,1,4,,,,,,1,3,,,,1,1,,,,2,,1,1,,,,1,1,,,
39.33,115.7,,2,2,1,2,,1,,2,,,,,2,,,1,1,,,1,,,1,1,,1,,1,1,,,,,2,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,2,,2,2,,,,1,1,,,1,,1,,,1,,,,,2,,,2,,2,3,1,,1,,,,,2,3,1,,,2,5,3,2,2,1,,,3,6,,1,2,,2,,1,,2,,2,2,1,,1,1,1,5,,1,,2,1,1,,2,2,1,,2,2,4,1,1,2,,4,3,,3,,1,,2,2,1,,3,,3,2,,1,,,3,,,1,,3,2,1,,1,1,2,4,,2,2,,1,3,2,,4,2,2,2,2,1,,,1,,1,2,1,,2,4,1,,,1,,3,4,2,1,,1,3,3,1,,1,1,,,2,,1,,,,1,6,,1,,1,2,2,,,6,4,,3,2,,,1,,1,2,4,4,3,,,1,2,2,,,,,,1,,,1,,1,,1,1,,,,3,
39.33,115.71,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,2,1,,1,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,1,,,,,1,,,,,,1,,,,,,3,,1,,,1,2,,1,,1,1,,,,,,1,1,,1,,2,1,,,2,,1,,,,,,1,,,2,,2,1,1,,2,,,,,,,,,,,,,1,1,,
39.33,115.72,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,2,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,
39.33,115.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
39.33,115.74,1,1,1,,,1,,1,4,1,2,2,,,2,,1,1,1,,1,,,,,,1,3,1,,,1,,,,1,1,1,,1,,,1,,1,,,1,1,1,1,,1,,,1,2,,,2,1,,,,1,1,2,,,,,1,1,2,,1,,1,,2,,,,1,1,3,1,,1,1,1,,,,,1,,1,3,,1,2,4,1,4,1,,2,1,2,,,,2,2,,,1,,,2,,1,2,,2,1,,1,,1,4,3,3,2,1,1,1,2,1,2,,,1,,1,,1,,1,,3,3,2,2,2,,2,5,2,1,2,1,1,1,3,1,3,1,1,,2,,2,2,1,1,,5,3,,3,,2,,2,4,2,2,,2,1,1,3,1,3,,1,7,2,3,2,2,1,3,,1,2,,1,,,1,1,2,1,,,4,,1,2,1,2,2,3,2,2,5,1,,4,,3,5,2,,3,2,3,6,1,3,,3,5,,3,,8,,2,1,1,5,,2,,3,,,,2,,,,,,,,,,3,3,4,3,1,1,3,,4,,1,,4,
39.33,115.75,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,1,,,,,,1,,,,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,2,1,,,,,,1,,3,,1,3,5,2,5,,2,1,1,,3,,1,,2,1,
39.33,115.76,1,1,,,,5,2,,,,1,,1,4,,1,,,2,2,1,,,,1,,1,,,1,1,,1,1,2,,,1,1,3,1,1,1,1,,,2,,,,1,,,,,,,,,,,1,1,,,1,,,1,,2,3,,4,,,,4,,2,,1,1,1,,,,,,1,1,,1,2,1,,,1,1,,1,,,3,,,2,,,1,2,,,,,1,,,1,,2,,2,2,,2,,,2,,,1,1,1,,,,,,1,,,,,,,,,,3,,,2,1,,,2,,5,2,2,2,,3,,1,,2,,1,1,2,1,3,,,1,,2,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,1,2,,1,,1,,1,,,,1,,3,3,2,1,2,1,2,2,,,6,,1,1,,,,2,,4,,1,,4,,1,4,,1,3,4,,,5,3,,2,1,,10,5,,2,1,,3,1,7,5,,6,,,5,4,,1,,1,1,1,1,,,1,,2,,1
39.33,115.77,,1,,1,,,1,2,,1,,,,,1,,1,3,,,,1,1,1,,1,,,1,,,1,,,,,1,,,,1,,,,2,,,1,1,,,,,,1,2,2,,3,,1,1,,,,1,1,,,,1,,2,,1,,,,1,,,1,,,2,,,,1,,4,,,2,1,,,,,1,,,,,,,1,,1,1,,,,2,1,2,1,,3,1,,,,,,,3,,1,,1,,,1,5,3,10,1,1,,,,,,5,,1,2,1,2,1,2,,2,,,1,3,,4,3,,2,1,,,,,,,,,,1,,,,,1,,,,1,1,1,1,,,1,,3,,1,1,2,1,1,3,1,,,1,2,1,,,,,,1,,1,1,,,1,,,2,,1,,1,1,3,,1,,1,,,,,,,1,,1,,1,1,2,,,2,,1,5,3,3,,4,1,,4,,,2,3,,2,,2,1,,3,1,,,,,1,1,,1,,2,1,1,2,,,,,2,
39.33,115.79,4,2,5,5,3,6,5,4,4,3,4,2,1,4,3,4,2,3,2,1,,2,3,2,1,3,3,2,4,5,3,2,2,1,2,3,1,1,1,2,1,2,9,1,1,,4,1,1,1,1,2,2,,,2,,3,6,1,2,,,2,3,,1,5,3,2,5,6,4,3,4,3,9,5,2,2,4,5,6,6,2,6,5,7,4,8,5,3,7,3,4,2,2,4,2,3,3,4,4,1,5,4,,1,3,1,3,1,6,6,1,4,6,4,3,5,6,5,2,1,6,3,2,5,4,,4,4,1,3,5,3,2,2,1,3,1,,2,3,6,2,2,1,2,4,4,4,7,10,2,6,5,4,7,2,3,4,5,3,4,5,2,,3,4,1,,2,2,3,3,,1,,5,2,5,4,3,2,,4,1,3,1,1,6,6,5,7,3,,3,4,,,3,4,4,6,,2,2,4,2,4,4,,1,5,3,,7,7,,5,6,3,6,,5,4,3,6,,8,5,3,,8,,8,7,7,9,4,,13,3,8,9,11,12,11,11,,,7,,,7,,4,,11,,8,,11,6,,6,8,9,9,7,9,1,8,8,5,9,2,,4,4,4,10,11,3,5
39.33,115.8,3,3,1,2,7,5,1,,5,3,2,2,,2,1,1,2,1,,2,1,,1,,,,1,,1,2,,,,1,,,,,,,,,,,,1,,,,,,3,,,1,,,,,2,,,,,2,,,1,,1,,2,3,,2,2,,3,2,3,1,,,1,2,2,3,,3,,,1,,,,2,,6,3,,,,,,4,,,,1,2,2,4,1,1,3,,,1,1,,,1,,3,1,,3,2,,1,2,4,2,3,,,,2,,,,1,,1,4,1,1,,,1,1,,,4,,,,,2,4,3,1,1,1,,1,,,,1,2,3,1,1,,2,,,3,,1,,,2,,1,,2,1,,2,1,,,3,,,1,,3,,1,3,,,,2,1,2,1,1,2,,,,,2,,1,2,,1,,,1,,,,,1,3,2,,7,,,1,2,,1,,6,,,,,1,1,2,,,1,,,1,,,,,3,7,2,1,5,2,,1,3,3,,1,,1,1,4,,2,1,1,,1,3,3,,4,3
39.33,115.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.33,115.82,,,,1,1,,,,,2,,3,,2,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,,,2,,,,,1,,2,,,1,,,,,,,,,,1,,,,2,2,1,,,2,,,1,1,,1,,1,2,,,,1,,,,,1,1,1,1,,1,,,1,,,1,,,,,1,,2,1,,,3,2,2,,1,,2,1,,3,,,1,,1,1,,,2,1,,,4,1,,5,2,2,,2,,1,,,,1,,1,,1,4,2,1,1,,1,,,1,2,3,,,,,,1,2,,,2,,,,,1,3,1,,2,,1,4,4,1,1,2,1,1,1,2,,,1,1,,,,1,,4,1,,,,,,,2,4,2,,,1,,,2,,2,,,,,1,,,1,2,,,,1,4,,,3,,,1,2,,2,,1,,1,,1,,,3,,,,2,,1,,,2,1,,,2,1,,,
39.33,115.83,2,,2,1,1,1,,,1,,,,,,,1,2,2,1,2,,1,1,,1,2,3,1,1,2,2,3,3,2,1,,2,1,1,1,1,1,3,2,1,2,2,1,1,1,1,,1,3,,2,,1,,1,2,1,,2,,,1,5,,2,1,5,4,1,,2,2,,2,2,3,4,2,1,5,1,2,2,2,2,6,4,3,6,2,2,2,1,3,4,2,1,2,2,1,5,2,,,3,,4,2,1,,2,2,1,3,2,2,5,1,3,3,1,3,5,1,3,,1,2,2,,4,2,1,5,1,1,2,2,1,5,2,1,,1,3,,6,5,,3,3,4,4,7,2,5,3,3,5,3,3,,2,3,3,1,2,5,10,3,2,2,2,6,3,2,2,3,5,2,2,2,2,3,3,2,5,2,2,,4,3,6,2,3,2,2,5,4,4,,4,2,3,6,4,,3,1,2,1,5,1,1,2,3,8,1,5,6,3,2,1,6,3,1,2,,,,5,,6,5,,4,,7,2,5,,,7,6,,7,,,,,,5,,2,8,,4,8,,5,3,3,3,6,2,,6,5,2,1,,4,,3,2,7,2,,,1,2
39.33,115.84,10,,7,,7,13,,6,10,,2,9,8,11,6,4,6,10,5,,3,,3,8,,5,9,7,3,6,3,4,,5,4,4,3,,7,3,,6,,3,4,4,,3,5,,3,1,6,,4,5,,7,2,2,4,,2,7,2,,1,3,4,6,8,,9,6,10,,3,7,3,7,8,,8,10,,7,9,7,,6,8,11,,7,,8,7,,7,7,5,6,6,14,12,5,3,,9,,5,4,10,1,,6,5,4,5,9,6,6,10,11,,9,11,10,,8,8,8,,4,,,,7,,5,17,7,5,,7,10,,,10,19,11,,12,9,,19,,7,14,,9,,,4,,5,,10,,8,3,,,3,8,,15,7,7,,8,,8,5,10,9,,8,9,9,,8,,6,6,,12,,6,5,4,,8,14,,10,9,5,4,8,12,11,,,8,22,11,9,9,,14,9,,15,9,11,,10,,,10,,16,10,21,,14,,19,,24,16,,23,16,,,14,17,,,16,,16,20,18,,,15,20,,14,,,,10,,9,20,,,15,12,,12,24,,10,13,15,10,14,9,,10,14
39.33,115.85,,23,22,17,22,,22,11,,18,10,,14,6,,9,9,,15,9,,9,7,,7,10,6,7,9,8,9,6,11,,13,7,,14,,9,7,,6,11,6,,4,7,5,,8,14,11,,7,13,9,8,8,12,8,13,6,,9,11,14,,11,8,12,18,,18,25,,11,19,,21,20,13,22,20,27,29,28,32,24,30,,22,,21,18,,26,21,,27,,21,15,20,25,21,25,23,23,18,,14,25,34,38,,19,18,25,20,,20,22,30,24,,25,22,,24,40,,20,16,,18,,26,15,20,,,,19,25,29,,36,31,,17,,31,39,27,24,,31,,32,36,32,,23,27,19,22,,16,19,,19,,24,18,19,20,,15,,15,24,,22,15,11,,15,21,15,21,19,28,21,23,22,,17,20,14,17,14,14,25,18,,13,21,24,21,10,21,28,18,,,,28,28,27,35,31,,21,33,27,43,,29,,,30,43,37,32,24,25,,36,,36,39,31,25,,40,29,46,,,39,35,42,44,,35,31,38,43,32,30,33,36,,,42,39,50,38,42,50,31,35,41,,24,,29,19,,,20,25,,27,
39.33,115.86,36,36,28,,44,30,27,26,21,29,38,21,,17,,55,23,,28,,19,18,17,19,,14,,20,21,,25,18,14,14,18,,16,17,12,17,22,,9,15,20,16,,19,17,17,13,,11,12,18,,11,12,14,,19,15,16,,23,12,15,15,16,33,,19,,19,28,24,32,,41,38,39,21,34,,30,30,37,38,,34,42,45,43,,41,,42,45,31,45,38,,53,,44,35,,42,50,37,,70,59,63,41,35,,28,36,46,,43,53,,33,,31,28,28,,46,,26,,28,33,32,,48,,32,,42,40,44,47,,47,35,,51,72,51,,53,,50,46,52,,50,43,48,51,31,60,41,37,,40,37,39,50,47,47,,,,35,57,28,40,36,,36,34,51,,43,,57,,40,,39,,44,,36,42,31,,32,,34,,35,,43,41,,,55,51,46,,36,,,38,42,57,,43,,50,,65,,49,51,,45,53,,,,69,,60,50,,55,52,59,54,46,,39,,,,48,54,,53,,70,,63,64,63,70,51,42,,49,60,,46,,50,33,42,,47,31,41,,,,,40,,40,34
39.33,115.87,42,34,27,,29,34,,31,23,,21,27,24,21,22,20,30,22,28,21,17,,18,25,14,15,,22,12,11,15,25,23,12,20,12,12,6,,17,17,,13,12,14,,19,15,13,,17,12,20,17,20,14,,20,9,11,16,26,22,16,17,,15,12,14,15,16,29,17,22,21,16,20,,29,23,25,23,29,29,29,28,31,,38,,34,21,29,,37,30,,37,31,40,,37,,30,31,30,34,35,40,23,33,,33,30,33,26,,57,26,38,29,34,,56,32,40,38,48,42,,38,33,40,,45,26,,33,31,,37,41,36,37,40,50,,43,44,38,48,,55,62,60,43,45,52,64,53,52,53,46,50,40,,55,59,53,,34,53,44,42,49,57,44,72,46,42,28,,39,40,41,30,37,41,32,38,40,,35,40,,48,57,48,,32,28,36,50,,52,,,,48,,,54,35,33,36,41,50,,51,41,50,,44,54,59,,61,47,46,,62,,58,50,53,54,48,57,64,54,57,60,58,72,64,,65,72,62,51,,59,45,,67,47,54,62,53,,43,74,48,57,50,48,,56,52,41,56,51,46,,54,49,69,42,47,44,,,42,57,38,
39.33,115.88,16,24,15,14,28,19,22,29,,18,12,18,10,12,16,13,18,14,19,13,20,23,12,16,,17,23,,22,16,15,11,18,14,11,7,15,13,16,13,12,13,9,10,12,11,7,9,9,6,5,,13,11,15,,15,8,13,4,6,,12,11,10,13,18,3,9,10,17,,27,19,20,9,17,24,19,18,16,18,19,29,22,,23,22,21,24,,26,25,,19,19,58,45,32,17,,34,20,17,36,21,17,,14,,25,,25,24,29,30,20,31,31,13,29,52,36,28,21,16,26,,23,17,28,14,17,13,,,11,23,17,17,,17,11,20,22,28,21,28,24,32,31,25,36,25,29,25,23,39,30,21,22,24,34,23,29,25,28,13,,14,,,,22,21,23,27,25,16,25,,11,18,18,,25,10,24,21,23,21,13,16,16,15,,21,25,32,25,32,17,24,23,24,21,24,17,21,14,15,17,25,,25,20,21,24,22,27,28,32,27,26,25,28,,24,,28,29,,,25,39,33,31,39,34,25,,44,,34,32,36,33,49,46,,,,46,39,30,30,52,40,48,33,,43,39,46,50,45,31,,46,,41,,28,40,30,34,,37,35,,34,25,28,22,25,20
39.33,115.89,,1,,,2,,,,1,,1,,,,,,2,,1,,,,,,,,,,,1,,,,,,,1,1,,,,1,1,,,,,,,2,,,,,,,,,,,2,1,,,1,1,2,,,,,1,,1,1,,1,1,,1,,,,,1,,1,1,,2,4,,3,1,2,5,6,3,1,1,4,2,12,,,1,1,,1,1,,3,2,5,,3,,7,2,,4,3,2,2,,4,4,3,7,3,2,1,1,,,10,,8,,2,4,3,,5,6,4,8,3,1,3,3,6,10,,8,1,7,3,1,,3,3,22,18,,3,4,,4,,1,3,,4,2,4,,,2,3,1,3,4,3,,3,2,5,7,,3,,5,2,3,8,,6,1,4,2,,5,,,7,,6,,,,3,2,,5,4,5,,,1,3,1,3,4,9,1,,3,1,1,,,2,3,1,,,,,9,,1,3,3,1,1,,,,1,2,,3,1,,,2,1,1,3,,,,,4,,3,,1,1,,1,3,,2,1,4,,5,2,1,,3,,1,
39.33,115.9,6,,6,6,9,6,12,11,10,,9,7,2,6,3,8,6,,7,5,,1,4,1,,5,4,3,3,3,,6,2,3,6,6,4,1,1,3,2,2,3,3,6,5,2,1,,2,,2,1,2,7,,2,,1,5,1,6,4,2,3,3,4,4,6,6,9,5,6,15,,3,9,9,,5,6,9,3,12,9,4,12,12,7,15,9,11,3,,13,26,,20,25,29,10,,18,19,12,18,,18,28,25,,26,24,,21,26,27,15,20,,19,20,26,21,,18,,16,35,14,22,,24,29,22,32,23,19,16,22,,21,25,25,,11,,18,24,18,22,,28,,20,25,15,30,,25,,20,25,18,17,22,22,,17,22,16,20,17,12,16,,,23,14,,11,21,15,18,17,,4,21,13,,21,13,20,21,13,19,16,20,,,23,,15,22,23,17,17,13,,15,21,14,15,20,18,,22,8,,23,19,17,12,20,16,10,17,13,17,10,10,,13,,14,14,11,13,12,9,34,16,,,,17,,10,7,15,12,8,12,,5,9,14,9,,10,5,,10,18,8,20,14,7,5,,4,12,10,10,,6,9,,10,8,3,5,3,4,6,2